,genus,family,Species,Schooling,Range,MB_notes,Notes
33,Chromis,Pomacentridae,Chromis viridis,4,2,found in large aggregations. small home range/feeding area,
34,Chrysiptera,Pomacentridae,Chrysiptera caesifrons,2,1,"often solitary or in pairs, small territorial/feeding area",
39,Dascyllus,Pomacentridae,Dascyllus aruanus,3,1,Occurs in small aggregations. site attached,
41,Dischistodus,Pomacentridae,Dischistodus prosopotaenia,2,2,found solitary or in groups. small home range/feeding area,
42,Dischistodus,Pomacentridae,Dischistodus pseudochrysopoecilus,2,1,"often solitary or in pairs, small territorial/feeding area",
68,Neoglyphidodon,Pomacentridae,Neoglyphidodon melas,2,1,Occur singly or in pairs. small territorial/feeding area,
75,Pomacentrus,Pomacentridae,Pomacentrus chrysurus,2,1,Occur singly or in pairs. small territorial/feeding area,
76,Pomacentrus,Pomacentridae,Pomacentrus coelestis,3,2,Adults in small groups or congregate in large numbers over favorable sections of reef . Small/average feeding area,
77,Pomacentrus,Pomacentridae,Pomacentrus grammorhynchus,2,1,"occur solitarily or in small groups, small territorial/feeding area",
78,Pomacentrus,Pomacentridae,Pomacentrus moluccensis,3,1,occur in small aggregations. site attached,
79,Pomacentrus,Pomacentridae,Pomacentrus wardi,2,1,"occur solitarily or in small groups, small territorial/feeding area",
99,Stegastes,Pomacentridae,Stegastes apicalis,2,1,"often solitary or in pairs, small territorial/feeding area",
31,Chlorurus,Scaridae,Chlorurus microrhinos,3,3,large adults often school together. large home ranges,
32,Chlorurus,Scaridae,Chlorurus spilurus,2,2,"occur solitarily or in small groups, small home range",
52,Hipposcarus,Scaridae,Hipposcarus longiceps,3,3,"seen in aggregations, large home ranges",
80,Scarus,Scaridae,Scarus altipinnis,4,3,Often found in large groups. large home ranges,
81,Scarus,Scaridae,Scarus chameleon,3,3,"Females often in schools of mixed species when feeding, males usually seen separate. Large home ranges",
82,Scarus,Scaridae,Scarus flavipectoralis,1,3,"often solitarily, average home range",
83,Scarus,Scaridae,Scarus frenatus,2,3,"Generally solitary, but in mixed species schools when feeding. Large home ranges",
84,Scarus,Scaridae,Scarus globiceps,1,3,"often solitarily, average home range",
85,Scarus,Scaridae,Scarus niger,1,2,Generally solitary. Territorial and small home range,
86,Scarus,Scaridae,Scarus psittacus,3,3,often forms small feeding schools. average home range,
87,Scarus,Scaridae,Scarus rivulatus,4,3,Form schools with 30 to 40 individuals. large home ranges,
88,Scarus,Scaridae,Scarus rubroviolaceus,2,3,"Occurs solitary, in pairs and also in large schools. large home range",
89,Scarus,Scaridae,Scarus schlegeli,1,3,A solitary species. average home range,
44,Grammatorcynus,Scombridae,Grammatorcynus bicarinatus,4,4,Form schools. large home ranges,
15,Cephalopholis,Serranidae,Cephalopholis argus,3,2,Mature adults are found in social units comprising up to 12 adults. territorial and small home ranges,
73,Plectropomus,Serranidae,Plectropomus leopardus,1,2,"Occurs solitary, exept during spawning. small home ranges",
92,Siganus,Siganidae,Siganus argenteus,4,4,Usually occurs in large schools. large home ranges,
93,Siganus,Siganidae,Siganus corallinus,2,2,juveniles found in small schools and adults in pairs. small home ranges,
94,Siganus,Siganidae,Siganus doliatus,2,2,juveniles found in small schools and adults in pairs. small home ranges,
95,Siganus,Siganidae,Siganus puellus,2,2,juveniles found in small schools and adults in pairs. small home ranges,
96,Siganus,Siganidae,Siganus punctatissimus,2,2,Usually seen in pairs. small home ranges,
97,Siganus,Siganidae,Siganus punctatus,2,2,juveniles found in  schools and adults in pairs. small home ranges,
98,Siganus,Siganidae,Siganus vulpinus,2,2,usually occurs singly or in pairs. territorial. small home range,
108,Zanclus,Zanclidae,Zanclus cornutus,2,2,Generally encountered in small groups of 2 or 3 individuals. small home range,
