Site,Species,n
TurtleBeach,Chrysiptera caesifrons,1
TurtleBeach,Ctenochaetus striatus,2
TurtleBeach,Dascyllus aruanus,1
TurtleBeach,Dischistodus prosopotaenia,2
TurtleBeach,Dischistodus pseudochrysopoecilus,1
TurtleBeach,Halichoeres chloropterus,1
TurtleBeach,Halichoeres marginatus,3
TurtleBeach,Halichoeres melanurus,2
TurtleBeach,Hemigymnus melapterus,1
TurtleBeach,Parupeneus cyclostomus,1
TurtleBeach,Pomacentrus chrysurus,4
TurtleBeach,Pomacentrus moluccensis,4
TurtleBeach,Scolopsis bilineata,3
TurtleBeach,Thalassoma hardwicke,3
TurtleBeach,Thalassoma nigrofasciatum,1
Vickis,Amblyglyphidodon curacao,2
Vickis,Bodianus axillaris,1
Vickis,Cephalopholis argus,1
Vickis,Chaetodon melannotus,8
Vickis,Chaetodon rafflesii,2
Vickis,Chaetodon ulietensis,2
Vickis,Chlorurus microrhinos,1
Vickis,Halichoeres melanurus,3
Vickis,Hemigymnus melapterus,1
Vickis,Labrichthys unilineatus,1
Vickis,Lutjanus gibbus,5
Vickis,Naso brevirostris,1
Vickis,Naso lituratus,2
Vickis,Neoglyphidodon melas,1
Vickis,Novaculichthys taeniourus,1
Vickis,Pomacentrus chrysurus,2
Vickis,Pomacentrus grammorhynchus,1
Vickis,Pomacentrus moluccensis,2
Vickis,Scarus frenatus,1
Vickis,Scarus niger,1
Vickis,Siganus corallinus,2
Vickis,Thalassoma hardwicke,6
Vickis,Zebrasoma scopas,6
